AC,LOCATION,PART_REQUEST,PART_REQUEST_STATUS,PRIORITY_CD,PART_NO,TASK_BARCODE,TASK_NAME,TASK_STATUS,WP_BARCODE,WP_NAME,WP_STATUS,WORK_TYPE_CD
CC-BBE,SCL/LH,R2HHLN007R01H,PROPEN,NORMAL,BMS8-343 TYPE III CLASS 1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01U,PROPEN,NORMAL,BMS3-33,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R019,PROPEN,NORMAL,KATHON-FP1.5,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00R,PROPEN,NORMAL,BMS10-103,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00V,PROPEN,NORMAL,G00018,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R015,PROPEN,NORMAL,G00087,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00W,PROPEN,NORMAL,G02219,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01D,PROPEN,NORMAL,G02443,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01F,PROPEN,NORMAL,G02443,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01T,PROPEN,NORMAL,G02444,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00F,PROPEN,NORMAL,G02447,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R025,PROPEN,NORMAL,SC-1074B-1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00U,PROPEN,NORMAL,SCOTCH BRAND NO.471,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01E,PROPEN,NORMAL,G01048,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R018,PROPEN,NORMAL,D50185,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01N,PROPEN,NORMAL,D50211,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01R,PROPEN,NORMAL,G50512,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01M,PROPEN,NORMAL,G00111,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R012,PROPEN,NORMAL,G50134,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R024,PROPEN,NORMAL,BMS10-118,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01V,PROPEN,NORMAL,PR-1776M-B2,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R0H7,PROPEN,NORMAL,BMS3-32-TYPE-I,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R8GT,PROPEN,NORMAL,BMS3-32-TYPE-I,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01G,PROPEN,NORMAL,BMS11-9,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R020,PROPEN,NORMAL,6203-100,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R01K,PROPEN,NORMAL,FLASHBREAKER-1R-1,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R029,PROPEN,NORMAL,SC-1090,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R00K,PROPEN,NORMAL,BMS3-42,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R02A,PROPEN,NORMAL,G51215,T00C9YK1,IH-B787-10-A7481 (Prepare the Airplane for Storage- For More 60 Days (2 Months)- without Engine),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007P89S,PROPEN,NORMAL,7001290H01,T00C6HQN,THE PN 7001290H01, SN AAGF000186, DESCRIPTION RPDU 74, WAS ROBBED OF THE A/C CC-BBE IN ACCORDANCE WITH PROCEDURE SSC-CAL-0084,,PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NS33,PRONORDER,NORMAL,AS1895-7-200,T00BX1R4,72-00-ENG-INST (ENGINE INSTALLATION),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007K0Z0,PROPEN,NORMAL,STD-748,T00BX1R4,72-00-ENG-INST (ENGINE INSTALLATION),ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007R11T,PROPEN,NORMAL,D50027,T00C8KZF,ENGINE - PRESERVING,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QJ8N,PROPEN,NORMAL,D50026,T00C8KZF,ENGINE - PRESERVING,ACTV,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007NP1U,PROPEN,NORMAL,3M-471,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RL5T,PROPEN,NORMAL,440-1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007RRJX,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007QJ1S,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PNXX,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PQX7,PROPEN,NORMAL,471-2" ROJA,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007PR3T,PROPEN,NORMAL,BIOBOR-JF,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LM,PROPEN,NORMAL,BMS8-343 TYPE III CLASS 1,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LN,PROPEN,NORMAL,BMS3-38,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KT,PROPEN,NORMAL,BMS10-103,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8LS,PROPEN,NORMAL,G00018,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8L8,PROPEN,NORMAL,G00087,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8KL,PROPEN,NORMAL,G02219,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBE,SCL/LH,R2HHLN007N8M0,PROPEN,NORMAL,G02443,T00C4DAC,IH-B787-10-A7480 (Prepare the Airplane for Storage- For More 30 Days (1 Month)- without Engine),PAUSE,T00C4DJ0,WP-LM-CC-BBE28JUN17-01,IN WORK,LINE
CC-BBG,SCL/LH,R2HHLN007MG0V,PROPEN,NORMAL,D50115,T00C2J5E,MD-T-1000-72-A3279 (JIC) (HP TURBINE SYSTEM - SPECIAL DETALIED INSPECTION (WITH BORESCOPE)),IN WORK,T00CAH3U,WP-LM-BBG10AUG17-BSI ENG 2 (TURNO AM),IN WORK,LINE
CC-BBG,SCL/LH,R2HHLN007MT28,PROPEN,NORMAL,A50267,T00C2J5E,MD-T-1000-72-A3279 (JIC) (HP TURBINE SYSTEM - SPECIAL DETALIED INSPECTION (WITH BORESCOPE)),IN WORK,T00CAH3U,WP-LM-BBG10AUG17-BSI ENG 2 (TURNO AM),IN WORK,LINE
